stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1_6030,,PÇ D. ANTÓNIO RIBEIRO,,38.780181885,-9.1514778137,,,0,,,0,
1_6029,,PÇ D. ANTÓNIO RIBEIRO,,38.784568787,-9.1514997482,,,0,,,0,
1_7511,,PÇ. AEROPORTO,,38.762168884,-9.1294765472,,,0,,,0,
1_7505,,PÇ. AEROPORTO,,38.762371063,-9.1294536591,,,0,,,0,
1_7501,,PÇ. AEROPORTO,,38.762401581,-9.1300859451,,,0,,,0,
1_7502,,PÇ. AEROPORTO,,38.762363434,-9.1304979324,,,0,,,0,
1_7513,,PÇ. AEROPORTO,,38.762248993,-9.1302556992,,,0,,,0,
1_7514,,PÇ. AEROPORTO,,38.762107849,-9.1298007965,,,0,,,0,
1_7515,,PÇ. AEROPORTO,,38.762481689,-9.1303720474,,,0,,,0,
1_7516,,PÇ. AEROPORTO,,38.762779236,-9.1290073395,,,0,,,0,
1_7517,,PÇ. AEROPORTO,,38.763214111,-9.1286020279,,,0,,,0,
1_3015,,PÇ. ÁGUAS LIVRES,,38.746833801,-9.2162179947,,,0,,,0,
1_105,,PÇ. ALVALADE,,38.753471375,-9.142575264,,,0,,,0,
1_108,,PÇ. ALVALADE,,38.753417969,-9.1432762146,,,0,,,0,
1_106,,PÇ. ALVALADE (ESC. EUGÉNIO SAN,,38.754734039,-9.144657135,,,0,,,0,
1_103,,PÇ. ALVALADE (ESC. EUGÉNIO SAN,,38.754219055,-9.1444196701,,,0,,,0,
1_104,,PÇ. ALVALADE (ESC. EUGÉNIO SAN,,38.754051208,-9.1446399689,,,0,,,0,
1_9101,,PÇ. ANTÓNIO SARDINHA,,38.725891113,-9.1300621033,,,0,,,0,
1_9102,,PÇ. ANTÓNIO SARDINHA,,38.725971222,-9.1299438477,,,0,,,0,
1_507,,PÇ. CHILE,,38.734424591,-9.1350793839,,,0,,,0,
1_509,,PÇ. CHILE,,38.733345032,-9.1327934265,,,0,,,0,
1_521,,PÇ. CHILE,,38.734523773,-9.1350221634,,,0,,,0,
1_522,,PÇ. CHILE,,38.733142853,-9.1324939728,,,0,,,0,
1_503,,PÇ. CHILE,,38.733257294,-9.1324777603,,,0,,,0,
1_504,,PÇ. CHILE,,38.733226776,-9.1327981949,,,0,,,0,
1_505,,PÇ. CHILE / AV. ALMIRANTE REIS,,38.732666016,-9.1342077255,,,0,,,0,
1_506,,PÇ. CHILE / AV. ALMIRANTE REIS,,38.732460022,-9.1344013214,,,0,,,0,
1_5501,,PÇ. COMÉRCIO,,38.708328247,-9.136507988,,,0,,,0,
1_404,,PÇ. JOÃO RIO,,38.740512848,-9.1336374283,,,0,,,0,
1_411,,PÇ. JOÃO RIO,,38.740196228,-9.133433342,,,0,,,0,
1_6612,,PÇ. JOSÉ FONTANA,,38.728748322,-9.1445550919,,,0,,,0,
1_6405,,PÇ. LONDRES,,38.742172241,-9.1379899979,,,0,,,0,
1_6408,,PÇ. LONDRES,,38.740322113,-9.1374483109,,,0,,,0,
1_10512,,PÇ. LUIS CAMÕES,,38.710788727,-9.1435947418,,,0,,,0,
1_10513,,PÇ. LUIS CAMÕES,,38.710487366,-9.1438159943,,,0,,,0,
1_603,,PÇ. NOVAS NAÇÕES,,38.726348877,-9.1327037811,,,0,,,0,
1_7003,,PÇ. PAIVA COUCEIRO,,38.730415344,-9.1278009415,,,0,,,0,
1_7004,,PÇ. PAIVA COUCEIRO,,38.731189728,-9.1279611588,,,0,,,0,
1_7014,,PÇ. PAIVA COUCEIRO,,38.730545044,-9.12748909,,,0,,,0,
1_7015,,PÇ. PAIVA COUCEIRO,,38.730552673,-9.1271018982,,,0,,,0,
1_7010,,PÇ. PAIVA COUCEIRO,,38.731365204,-9.1270942688,,,0,,,0,
1_7011,,PÇ. PAIVA COUCEIRO / R. MORAIS,,38.73210907,-9.1282949448,,,0,,,0,
1_79126,,PÇ. REPÚBLICA,,38.796318054,-9.1042613983,,,0,,,0,
1_8914,,PÇ. SÓCRATES COSTA,,38.735046387,-9.1218261719,,,0,,,0,
1_13203,,PEDROUÇOS,,38.696033478,-9.2195615768,,,0,,,0,
1_13204,,PEDROUÇOS,,38.695922852,-9.2188472748,,,0,,,0,
1_7008,,PENHA DE FRANÇA,,38.72851944,-9.1309528351,,,0,,,0,
1_7005,,PENHA FRANÇA,,38.72851944,-9.1308355331,,,0,,,0,
1_8909,,PICHELEIRA - OLAIAS,,38.738983154,-9.1233968735,,,0,,,0,
1_8907,,PICHELEIRA - R. DR. FARIA VASC,,38.738853455,-9.120349884,,,0,,,0,
1_8919,,PICHELEIRA (QTA. LAVRADO),,38.732700348,-9.1222162247,,,0,,,0,
1_8901,,PICHELEIRA (QTA. LAVRADO),,38.732654572,-9.1214790344,,,0,,,0,
1_1703,,PICOAS,,38.730499268,-9.1467056274,,,0,,,0,
1_1704,,PICOAS,,38.730129242,-9.1472148895,,,0,,,0,
1_1707,,PICOAS,,38.730125427,-9.1454381943,,,0,,,0,
1_1713,,PICOAS,,38.730224609,-9.1468753815,,,0,,,0,
1_1714,,PICOAS,,38.730369568,-9.1470661163,,,0,,,0,
1_8838,,PINA MANIQUE,,38.736484528,-9.2016706467,,,0,,,0,
1_8826,,PINA MANIQUE,,38.735626221,-9.203037262,,,0,,,0,
1_8827,,PINA MANIQUE,,38.735752106,-9.2034788132,,,0,,,0,
1_7713,,PISCINA DOS OLIVAIS,,38.77003479,-9.1089963913,,,0,,,0,
1_7714,,PISCINA DOS OLIVAIS,,38.769142151,-9.1099004745,,,0,,,0,
1_7705,,PISCINA DOS OLIVAIS,,38.769538879,-9.1122608185,,,0,,,0,
1_7706,,PISCINA DOS OLIVAIS,,38.769493103,-9.1129846573,,,0,,,0,
1_7707,,PISCINA DOS OLIVAIS,,38.768600464,-9.1149015427,,,0,,,0,
1_7708,,PISCINA DOS OLIVAIS,,38.768695831,-9.1143903732,,,0,,,0,
1_11619,,PISCINA MUNICIPAL AMEIXOEIRA,,38.785877228,-9.1596908569,,,0,,,0,
1_12511,,POÇO DO BISPO,,38.742347717,-9.102104187,,,0,,,0,
1_12512,,POÇO DO BISPO,,38.742454529,-9.1024446487,,,0,,,0,
1_12502,,POÇO DO BISPO,,38.742153168,-9.1022033691,,,0,,,0,
1_10316,,PÓLO UNIVERSITÁRIO - ALAMEDA,,38.711566925,-9.1953735352,,,0,,,0,
1_10317,,PÓLO UNIVERSITÁRIO - ALAMEDA,,38.711490631,-9.1958332062,,,0,,,0,
1_12908,,PÓLO UNIVERSITÁRIO AJUDA - EST,,38.7133255,-9.2008724213,,,0,,,0,
1_10315,,PÓLO UNIVERSITÁRIO DA AJUDA,,38.713932037,-9.1969766617,,,0,,,0,
1_9809,,PONTE DE XABREGAS,,38.724742889,-9.1115522385,,,0,,,0,
1_8301,,PONTE XABREGAS,,38.726272583,-9.1118679047,,,0,,,0,
1_8302,,PONTE XABREGAS,,38.726097107,-9.1123313904,,,0,,,0,
1_13905,,PONTINHA,,38.76442337,-9.1998100281,,,0,,,0,
1_13906,,PONTINHA,,38.766040802,-9.1981801987,,,0,,,0,
1_13908,,PONTINHA,,38.76499176,-9.1991863251,,,0,,,0,
1_13909,,PONTINHA,,38.76512146,-9.198846817,,,0,,,0,
1_13910,,PONTINHA,,38.765964508,-9.1988830566,,,0,,,0,
1_13911,,PONTINHA (METRO),,38.763198853,-9.1978158951,,,0,,,0,
1_13912,,PONTINHA (METRO),,38.76398468,-9.1965923309,,,0,,,0,
1_13913,,PONTINHA (METRO),,38.762271881,-9.1973056793,,,0,,,0,
1_13907,,PONTINHA (METRO),,38.760593414,-9.196146965,,,0,,,0,
1_13904,,PONTINHA (METRO),,38.761817932,-9.1968822479,,,0,,,0,
1_13901,,PONTINHA CENTRO,,38.766780853,-9.2022695541,,,0,,,0,
1_14601,,PORTAGEM,,38.673812866,-9.1740045547,,,0,,,0,
1_14602,,PORTAGEM,,38.674282074,-9.1733236313,,,0,,,0,
1_11006,,PORTAS BENFICA,,38.753414154,-9.2084989548,,,0,,,0,
1_11001,,PORTAS BENFICA,,38.752708435,-9.2087812424,,,0,,,0,
1_11007,,PORTAS DE BENFICA,,38.752765656,-9.2095479965,,,0,,,0,
1_18706,,PORTAS DE QUELUZ,,38.723625183,-9.2154798508,,,0,,,0,
1_18707,,PORTAS DE QUELUZ,,38.724517822,-9.2140522003,,,0,,,0,
1_18702,,PORTELA,,38.721279144,-9.2213058472,,,0,,,0,
1_18703,,PORTELA,,38.721176147,-9.2213258743,,,0,,,0,
1_12627,,PORTELA - AVENIDA DA REPÚBLICA,,38.783939362,-9.109828949,,,0,,,0,
1_12607,,PORTELA - AVENIDA DA REPÚBLICA,,38.783538818,-9.1156196594,,,0,,,0,
1_12608,,PORTELA - AVENIDA DA REPÚBLICA,,38.783611298,-9.1162691116,,,0,,,0,
1_12609,,PORTELA - CENTRO COMERCIAL,,38.783691406,-9.112203598,,,0,,,0,
1_12617,,PORTELA - RUA DOS ESCRITORES,,38.782440186,-9.1083812714,,,0,,,0,
1_12618,,PORTELA - SEMINÁRIO,,38.781333923,-9.1071739197,,,0,,,0,
1_12619,,PORTELA - SEMINÁRIO,,38.781219482,-9.1074886322,,,0,,,0,
1_11319,,POTE DE ÁGUA,,38.759433746,-9.1358308792,,,0,,,0,
1_11316,,POTE DE ÁGUA,,38.759117126,-9.1371421814,,,0,,,0,
1_11308,,POTE DE ÁGUA,,38.759464264,-9.137137413,,,0,,,0,
1_11305,,POTE DE ÁGUA,,38.75963974,-9.1364793777,,,0,,,0,
1_14725,,PQ. BELA VISTA,,38.751041412,-9.1248054504,,,0,,,0,
1_14726,,PQ. BELA VISTA,,38.751064301,-9.1245546341,,,0,,,0,
1_10207,,PRAÇA DA ARMADA,,38.704975128,-9.170296669,,,0,,,0,
1_10208,,PRAÇA DA ARMADA,,38.705295563,-9.1706724167,,,0,,,0,
1_905,,PRAÇA DA FIGUEIRA,,38.713951111,-9.1378154755,,,0,,,0,
1_906,,PRAÇA DA FIGUEIRA,,38.713741302,-9.1373558044,,,0,,,0,
1_917,,PRAÇA DA FIGUEIRA,,38.713394165,-9.1372556686,,,0,,,0,
1_910,,PRAÇA DA FIGUEIRA,,38.713626862,-9.1381406784,,,0,,,0,
1_912,,PRAÇA DA FIGUEIRA,,38.713912964,-9.1380195618,,,0,,,0,
1_3014,,PRAÇA DAS ÁGUAS LIVRES,,38.746940613,-9.2165641785,,,0,,,0,
1_7720,,PRAÇA DAS CASAS NOVAS,,38.772556305,-9.11369133,,,0,,,0,
1_7721,,PRAÇA DAS CASAS NOVAS,,38.772918701,-9.1131362915,,,0,,,0,
1_6713,,PRAÇA DAS FLORES,,38.7149086,-9.1514186859,,,0,,,0,
1_6714,,PRAÇA DAS FLORES,,38.7149086,-9.1515617371,,,0,,,0,
1_1508,,PRAÇA DE ESPANHA,,38.738048553,-9.1585254669,,,0,,,0,
1_1505,,PRAÇA DE ESPANHA,,38.738090515,-9.1598463058,,,0,,,0,
1_1506,,PRAÇA DE ESPANHA,,38.737895966,-9.1584310532,,,0,,,0,
1_1503,,PRAÇA DE ESPANHA-AV. DE BERNA,,38.738739014,-9.1540393829,,,0,,,0,
1_1504,,PRAÇA DE ESPANHA-AV. DE BERNA,,38.737789154,-9.1555480957,,,0,,,0,
1_6403,,PRAÇA DE LONDRES,,38.740592957,-9.137556076,,,0,,,0,
1_5502,,PRAÇA DO COMÉRCIO,,38.708999634,-9.1353254318,,,0,,,0,
1_5504,,PRAÇA DO COMÉRCIO,,38.707942963,-9.1385984421,,,0,,,0,
1_5508,,PRAÇA DO COMÉRCIO,,38.708370209,-9.1377391815,,,0,,,0,
1_5512,,PRAÇA DO COMÉRCIO,,38.708244324,-9.1364784241,,,0,,,0,
1_5515,,PRAÇA DO COMÉRCIO,,38.708099365,-9.1370992661,,,0,,,0,
1_5519,,PRAÇA DO COMÉRCIO,,38.709674835,-9.1363840103,,,0,,,0,
1_12311,,PRAÇA DO NORTE - MERCADO,,38.776733398,-9.117893219,,,0,,,0,
1_12312,,PRAÇA DO NORTE - MERCADO,,38.776298523,-9.1180095673,,,0,,,0,
1_3705,,PRAÇA DOUTOR FERNANDO AMADO,,38.746555328,-9.1128101349,,,0,,,0,
1_3708,,PRAÇA DOUTOR FERNANDO AMADO,,38.746341705,-9.1129789352,,,0,,,0,
1_3706,,PRAÇA EDUARDO MONDLANE,,38.74413681,-9.1136856079,,,0,,,0,
1_3703,,PRAÇA EDUARDO MONDLANE,,38.74446106,-9.1132316589,,,0,,,0,
1_1709,,PRAÇA JOSÉ FONTANA,,38.730743408,-9.1437673569,,,0,,,0,
1_1710,,PRAÇA JOSÉ FONTANA,,38.729530334,-9.1435651779,,,0,,,0,
1_1712,,PRAÇA JOSÉ FONTANA,,38.729877472,-9.143497467,,,0,,,0,
1_7811,,PRAÇA JOSÉ QUEIRÓS,,38.773017883,-9.105096817,,,0,,,0,
1_7812,,PRAÇA JOSÉ QUEIRÓS,,38.773792267,-9.10476017,,,0,,,0,
1_7804,,PRAÇA JOSÉ QUEIRÓS,,38.774238586,-9.1062431335,,,0,,,0,
1_7807,,PRAÇA JOSÉ QUEIRÓS,,38.773963928,-9.1047792435,,,0,,,0,
1_7810,,PRAÇA JOSÉ QUEIRÓS,,38.774425507,-9.1060361862,,,0,,,0,
1_10501,,PRAÇA LUÍS DE CAMÕES,,38.710956573,-9.1429042816,,,0,,,0,
1_10502,,PRAÇA LUÍS DE CAMÕES,,38.709941864,-9.1431560516,,,0,,,0,
1_3010,,PRAÇA MARQUÊS DAS MINAS,,38.744098663,-9.2201938629,,,0,,,0,
1_3011,,PRAÇA MARQUÊS DAS MINAS,,38.743793488,-9.2202072144,,,0,,,0,
1_10603,,PRÍNCIPE REAL,,38.715713501,-9.1477985382,,,0,,,0,
1_10605,,PRÍNCIPE REAL,,38.716571808,-9.1481103897,,,0,,,0,
1_10606,,PRÍNCIPE REAL,,38.716655731,-9.1485157013,,,0,,,0,
1_10609,,PRÍNCIPE REAL,,38.716510773,-9.1481800079,,,0,,,0,
1_16313,,PRIOR VELHO,,38.792743683,-9.1216030121,,,0,,,0,
1_16315,,PRIOR VELHO,,38.790195465,-9.12312603,,,0,,,0,
1_16309,,PRIOR VELHO,,38.790107727,-9.1238861084,,,0,,,0,
1_16310,,PRIOR VELHO,,38.790214539,-9.1243543625,,,0,,,0,
1_10830,,PUPILOS DO EXÉRCITO,,38.746807098,-9.1846170425,,,0,,,0,
1_10829,,PUPILOS EXÉRCITO,,38.746696472,-9.1845941544,,,0,,,0,
1_7809,,QTA CONDE DOS ARCOS,,38.77053833,-9.108669281,,,0,,,0,
1_16307,,QTA DA FRANCELHA DE BAIXO,,38.788410187,-9.1237373352,,,0,,,0,
1_16308,,QTA DA FRANCELHA DE BAIXO,,38.78830719,-9.1238880157,,,0,,,0,
1_16305,,QTA DA FRANCELHA DE CIMA,,38.785865784,-9.12383461,,,0,,,0,
1_16306,,QTA DA FRANCELHA DE CIMA,,38.78609848,-9.1239204407,,,0,,,0,
1_10916,,QTA DA GRANJA,,38.754608154,-9.1960773468,,,0,,,0,
1_11609,,QTA DA TORRINHA,,38.790885925,-9.1573047638,,,0,,,0,
1_11614,,QTA DA TORRINHA,,38.790607452,-9.1573467255,,,0,,,0,
1_3309,,QTA DAS FREIRAS,,38.743946075,-9.1547756195,,,0,,,0,
1_7916,,QTA DAS LARANJEIRAS,,38.771911621,-9.1014871597,,,0,,,0,
1_8803,,QTA DAS TORRES,,38.733219147,-9.2078027725,,,0,,,0,
1_8804,,QTA DAS TORRES,,38.733623505,-9.2076654434,,,0,,,0,
1_7304,,QTA DE SANTO ANTÓNIO,,38.751899719,-9.130818367,,,0,,,0,
1_7307,,QTA DE SANTO ANTÓNIO,,38.752601624,-9.1304597855,,,0,,,0,
1_9411,,QTA DO CABRINHA - AV. DE CEUTA,,38.713104248,-9.1753940582,,,0,,,0,
1_9412,,QTA DO CABRINHA - AV. DE CEUTA,,38.712413788,-9.1754627228,,,0,,,0,
1_12603,,QTA DO MORGADO,,38.779376984,-9.1201324463,,,0,,,0,
1_12604,,QTA DO MORGADO,,38.779132843,-9.1201715469,,,0,,,0,
1_7507,,QTA DO NARIGÃO,,38.757915497,-9.1299314499,,,0,,,0,
1_7512,,QTA DO NARIGÃO,,38.75825119,-9.1301870346,,,0,,,0,
1_11616,,QTA DOS BALSARES,,38.793140411,-9.1531171799,,,0,,,0,
1_11611,,QTA DOS BALSARES,,38.793384552,-9.153137207,,,0,,,0,
1_50017,,QTA DOS BARROS,,38.755725861,-9.1682929993,,,0,,,0,
1_50020,,QTA DOS BARROS,,38.755737305,-9.1685991287,,,0,,,0,
1_9820,,QTA DOS PEIXINHOS,,38.722732544,-9.1214952469,,,0,,,0,
1_18131,,QTA GRANDE,,38.735664368,-9.2186908722,,,0,,,0,
1_18129,,QTA GRANDE (ALFRAGIDE),,38.735832214,-9.2187461853,,,0,,,0,
1_18105,,QTA GRANDE (ALFRAGIDE),,38.735321045,-9.218711853,,,0,,,0,
1_18108,,QTA GRANDE (ALFRAGIDE),,38.735378265,-9.2188434601,,,0,,,0,
1_7201,,QTA. ALCOUTINS,,38.779556274,-9.1721754074,,,0,,,0,
1_11610,,QTA. BALSARES,,38.794082642,-9.1520004272,,,0,,,0,
1_11605,,QTA. BALSARES,,38.793498993,-9.1520500183,,,0,,,0,
1_5903,,QTA. CONCHAS,,38.770343781,-9.1597099304,,,0,,,0,
1_5904,,QTA. CONCHAS,,38.770240784,-9.1598987579,,,0,,,0,
