service_id,date,exception_type
25908410,20191201,1
25908410,20191208,1
25908410,20200216,1
25908410,20201101,1
25908410,20201005,1
25908410,20200225,1
25908410,20201201,1
25908410,20201208,1
25908410,20191225,1
25908410,20200101,1
25908410,20200603,1
25908410,20200610,1
25908410,20200402,1
25908410,20200611,1
25908410,20191101,1
25908410,20200501,1
25908410,20201225,1
25907641,20191005,1
25907641,20200404,1
25907641,20200425,1
25907641,20200613,1
25907551,20191005,1
25907551,20200404,1
25907551,20200425,1
25907551,20200613,1
25907554,20191005,1
25907554,20200404,1
25907554,20200425,1
25907554,20200613,1
25908411,20191201,1
25908411,20191208,1
25908411,20200216,1
25908411,20201101,1
25908411,20201005,1
25908411,20200225,1
25908411,20201201,1
25908411,20201208,1
25908411,20191225,1
25908411,20200101,1
25908411,20200603,1
25908411,20200610,1
25908411,20200402,1
25908411,20200611,1
25908411,20191101,1
25908411,20200501,1
25908411,20201225,1
25907557,20191005,1
25907557,20200404,1
25907557,20200425,1
25907557,20200613,1
25908409,20191201,1
25908409,20191208,1
25908409,20200216,1
25908409,20201101,1
25908409,20201005,1
25908409,20200225,1
25908409,20201201,1
25908409,20201208,1
25908409,20191225,1
25908409,20200101,1
25908409,20200603,1
25908409,20200610,1
25908409,20200402,1
25908409,20200611,1
25908409,20191101,1
25908409,20200501,1
25908409,20201225,1
25908445,20191201,1
25908445,20191208,1
25908445,20200216,1
25908445,20201101,1
25908445,20201005,1
25908445,20200225,1
25908445,20201201,1
25908445,20201208,1
25908445,20191225,1
25908445,20200101,1
25908445,20200603,1
25908445,20200610,1
25908445,20200402,1
25908445,20200611,1
25908445,20191101,1
25908445,20200501,1
25908445,20201225,1
25908412,20191201,1
25908412,20191208,1
25908412,20200216,1
25908412,20201101,1
25908412,20201005,1
25908412,20200225,1
25908412,20201201,1
25908412,20201208,1
25908412,20191225,1
25908412,20200101,1
25908412,20200603,1
25908412,20200610,1
25908412,20200402,1
25908412,20200611,1
25908412,20191101,1
25908412,20200501,1
25908412,20201225,1
25907560,20191005,1
25907560,20200404,1
25907560,20200425,1
25907560,20200613,1
25908413,20191201,1
25908413,20191208,1
25908413,20200216,1
25908413,20201101,1
25908413,20201005,1
25908413,20200225,1
25908413,20201201,1
25908413,20201208,1
25908413,20191225,1
25908413,20200101,1
25908413,20200603,1
25908413,20200610,1
25908413,20200402,1
25908413,20200611,1
25908413,20191101,1
25908413,20200501,1
25908413,20201225,1
25907626,20191005,1
25907626,20200404,1
25907626,20200425,1
25907626,20200613,1
25908429,20191201,1
25908429,20191208,1
25908429,20200216,1
25908429,20201101,1
25908429,20201005,1
25908429,20200225,1
25908429,20201201,1
25908429,20201208,1
25908429,20191225,1
25908429,20200101,1
25908429,20200603,1
25908429,20200610,1
25908429,20200402,1
25908429,20200611,1
25908429,20191101,1
25908429,20200501,1
25908429,20201225,1
25908431,20191201,1
25908431,20191208,1
25908431,20200216,1
25908431,20201101,1
25908431,20201005,1
25908431,20200225,1
25908431,20201201,1
25908431,20201208,1
25908431,20191225,1
25908431,20200101,1
25908431,20200603,1
25908431,20200610,1
25908431,20200402,1
25908431,20200611,1
25908431,20191101,1
25908431,20200501,1
25908431,20201225,1
25907620,20191005,1
25907620,20200404,1
25907620,20200425,1
25907620,20200613,1
25907608,20191005,1
25907608,20200404,1
25907608,20200425,1
25907608,20200613,1
25907614,20191005,1
25907614,20200404,1
25907614,20200425,1
25907614,20200613,1
25907563,20191005,1
25907563,20200404,1
25907563,20200425,1
25907563,20200613,1
25907593,20191005,1
25907593,20200404,1
25907593,20200425,1
25907593,20200613,1
25907602,20191005,1
25907602,20200404,1
25907602,20200425,1
25907602,20200613,1
25908414,20191201,1
25908414,20191208,1
25908414,20200216,1
25908414,20201101,1
25908414,20201005,1
25908414,20200225,1
25908414,20201201,1
25908414,20201208,1
25908414,20191225,1
25908414,20200101,1
25908414,20200603,1
25908414,20200610,1
25908414,20200402,1
25908414,20200611,1
25908414,20191101,1
25908414,20200501,1
25908414,20201225,1
25908415,20191201,1
25908415,20191208,1
25908415,20200216,1
25908415,20201101,1
25908415,20201005,1
25908415,20200225,1
25908415,20201201,1
25908415,20201208,1
25908415,20191225,1
25908415,20200101,1
25908415,20200603,1
25908415,20200610,1
25908415,20200402,1
25908415,20200611,1
25908415,20191101,1
25908415,20200501,1
25908415,20201225,1
25908437,20191201,1
25908437,20191208,1
25908437,20200216,1
25908437,20201101,1
25908437,20201005,1
25908437,20200225,1
25908437,20201201,1
25908437,20201208,1
25908437,20191225,1
25908437,20200101,1
25908437,20200603,1
25908437,20200610,1
25908437,20200402,1
25908437,20200611,1
25908437,20191101,1
25908437,20200501,1
25908437,20201225,1
25907623,20191005,1
25907623,20200404,1
25907623,20200425,1
25907623,20200613,1
25907581,20191005,1
25907581,20200404,1
25907581,20200425,1
25907581,20200613,1
25907587,20191005,1
25907587,20200404,1
25907587,20200425,1
25907587,20200613,1
25907566,20191005,1
25907566,20200404,1
25907566,20200425,1
25907566,20200613,1
25907572,20191005,1
25907572,20200404,1
25907572,20200425,1
25907572,20200613,1
25908416,20191201,1
25908416,20191208,1
25908416,20200216,1
25908416,20201101,1
25908416,20201005,1
25908416,20200225,1
25908416,20201201,1
25908416,20201208,1
25908416,20191225,1
25908416,20200101,1
25908416,20200603,1
25908416,20200610,1
25908416,20200402,1
25908416,20200611,1
25908416,20191101,1
25908416,20200501,1
25908416,20201225,1
25907569,20191005,1
25907569,20200404,1
25907569,20200425,1
25907569,20200613,1
25908421,20191201,1
25908421,20191208,1
25908421,20200216,1
25908421,20201101,1
25908421,20201005,1
25908421,20200225,1
25908421,20201201,1
25908421,20201208,1
25908421,20191225,1
25908421,20200101,1
25908421,20200603,1
25908421,20200610,1
25908421,20200402,1
25908421,20200611,1
25908421,20191101,1
25908421,20200501,1
25908421,20201225,1
25908417,20191201,1
25908417,20191208,1
25908417,20200216,1
25908417,20201101,1
